 , ,Fino. BP,MAP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Value,Value,Value,Cmt Text,Cmt No,Minimum,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V,V
6914.930939,1.41, ,84.44732666,110.9687729,63.46863174,BURST,61,0.5134,0.0766
6916.340939,1.165, ,88.67419434,118.4692535,67.03125,BURST,61,0.5175,0.0981
6917.505939,1.35, ,93.3010788,119.7524567,66.99994659,BURST,61,0.5184,0.0887
6918.855939,1.455, ,91.45205688,123.9710083,74.87419891,BURST,61,0.4994,0.0837
6920.310939,1.32, ,88.28755951,123.3439102,69.12480164,BURST,61,0.5234,0.0894
6921.630939,1.415, ,85.96482849,116.7822342,64.53096771,BURST,61,0.515,0.0619
6923.045939,1.345, ,84.56000519,117.5941086,66.03125,BURST,62,0.5178,0.2453
6924.390939,1.465, ,83.44564056,114.6562576,61.84114075,BURST,62,0.5069,0.1009
6925.855939,1.33, ,83.20701599,118.5626678,63.87332535,BURST,62,0.5172,0.1044
6927.185939,1.41, ,83.61184692,115.0943985,60.37491608,BURST,62,0.5159,0.0847
6928.595939,1.23, ,81.72324371,116.6570511,63.93749619,BURST,63,0.5038,0.2691
6929.825939,1.365, ,81.78539276,111.6563873,59.34323883,BURST,63,0.5222,0.1016
6931.190939,1.455, ,79.04576111,111.4404984,63.21530533,BURST,63,0.5219,0.1078
6932.645939,1.225, ,77.82785797,112.1563263,59.09302139,BURST,64,0.5303,0.4228
6933.870939,1.31, ,78.41098022,107.5945129,55.90623856,BURST,64,0.5122,0.0634
6935.180939,1.265, ,79.5166626,110.0625,60.53125,BURST,64,0.5162,0.1141
6936.445939,1.23, ,84.02009583,112.7188797,60.31184769,BURST,64,0.5138,0.0716
6937.675939,1.53, ,85.60612488,114.8442154,64.84298706,BURST,64,0.5231,0.0756
6939.205939,1.26, ,84.00131989,120.0312653,66.09327698,BURST,65,0.53,0.1734
6940.465939,1.495, ,84.74301147,114.3442154,60.09109879,BURST,65,0.5284,0.06
6941.960939,1.385, ,80.41318512,114.8462601,65.12498474,BURST,66,0.5253,0.2613
6943.345939,1.325, ,81.96837616,110.3438034,58.59327316,BURST,67,0.5241,0.2206
6944.670939,1.19,112/62,79.69813538,111.1876526,63.31219482,112/62,67,0.5178,0.2981
6945.860939,1.195,112/62,85.39479065,111.5937805,60.65519714,112/62,67,0.5138,0.0803
6947.055939,1.35,112/62,87.83454895,116.2197876,66.65591431,112/62,67,0.5241,0.0691
6948.405939,1.515,112/62,91.77567291,124.5325851,70.24997711,112/62,67,0.5144,0.0609
6949.920939,1.275,112/62,91.45795441,128.0315704,69.81247711,112/62,67,0.5188,0.0634
6951.195939,1.52,112/62,90.44018555,123.7504272,66.59346771,112/62,67,0.5009,0.0781
6952.715939,1.49,112/62,87.71826935,126.9377136,71.21845245,BURST,69,0.5066,0.2344
6954.205939,1.235,112/62,82.83119965,120.5945129,63.65609741,BURST,69,0.5047,0.1163
6955.440939,1.15,112/62,83.33547974,113.9068146,60.84276581,BURST,69,0.5316,0.0731
6956.590939,1.435,112/62,83.33547974,113.9068146,60.84276581,BURST,69,0.5212,0.0716
6958.025939,1.435,112/62,79.81019592,113.6580505,65.3431778,BURST,70,0.5269,0.1494
6959.460939,1.415,112/62,82.60601807,116.3753891,60.74991226,BURST,71,0.5162,0.2516
6960.875939,1.405,CAL,85.29579926,124.5937576,62.37499619,BURST,72,0.5288,0.1197
6962.280939,1.315,CAL,93.81993103,128.4698029,63.87492752,BURST,73,0.4997,0.1916
6963.595939,1.12,CAL,93.81993103,128.4698029,63.87492752,BURST,73,0.505,0.0984
6964.715939,1.12,CAL,93.81993103,128.4698029,63.87492752,BURST,73,0.5216,0.0578
6965.835939,1.315, ,93.81993103,128.4698029,63.87492752,BURST,73,0.5109,0.0997
6967.150939,1.26, ,89.29720306,128.6271515,68.87470245,BURST,73,0.5122,0.0794
6968.410939,1.435, ,89.14600372,128.5655518,68.15625,BURST,73,0.5212,0.0606
6969.845939,1.335, ,87.90359497,130.2200928,69.5,BURST,73,0.5341,0.0778
6971.180939,1.285, ,87.09004974,128.2812805,65.8748703,BURST,73,0.51,0.0859
6972.465939,1.565, ,83.84236908,123.3125076,65.96694946,BURST,73,0.5112,0.2526
6974.030939,1.475, ,79.27781677,122.031395,64.31137848,BURST,76,0.5306,0.4487
6975.505939,1.3, ,77.01726532,117.2813187,57.96857452,BURST,76,0.5162,0.0944
6976.805939,1.52, ,79.66960144,112.0625839,56.12473679,BURST,76,0.5175,0.0916
6978.325939,1.52, ,79.60352325,115.6885986,62.99974442,BURST,76,0.5172,0.1403
6979.845939,1.295, ,78.80921936,114.2188339,58.56194687,BURST,77,0.5153,0.4309
6981.140939,1.39, ,79.79666138,111.6878052,59.06224442,BURST,77,0.5112,0.0875
6982.530939,1.345, ,79.49123383,112.9073029,61.40602875,BURST,77,0.5147,0.0819
6983.875939,1.37, ,81.49835968,111.6563492,59.81187439,BURST,77,0.5131,0.0803
6985.245939,1.21, ,83.62760162,114.5626831,63.56182098,BURST,77,0.5238,0.1091
6986.455939,1.2, ,87.78907776,116.1875153,63.15624237,BURST,77,0.5116,0.0675
6987.655939,1.47, ,85.764328,117.0314713,68.34352875,BURST,77,0.5119,0.0713
6989.125939,1.375,106/63,84.62654877,120.5938416,67.37423706,106/63,77,0.5159,0.1362
6990.500939,1.305,106/63,82.6155777,115.4378128,61.21855927,BURST,78,0.5341,0.2806
