 , ,Fino. BP,Fino. BP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Mean,Mean,Mean,Cmt Text,Cmt No,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V
97.344,1.1798, ,96.48939969,132.5077196,70.4589462,burst,69,0.0819
98.5238,1.1553, ,97.62305245,133.7246893,75.46836149,burst,69,0.1194
99.6791,1.0328, ,97.83335048,132.1315743,72.50117959,burst,69,0.1044
100.7119,1.1801, ,94.4755079,131.9241616,74.03842016,burst,69,0.0869
101.892,1.3418, ,97.09309323,134.3459182,75.9964745,burst,69,0.2624
103.2338,1.3123, ,92.48426903,135.4579032,71.67572219,burst,70,0.2669
104.5461,1.1656, ,90.71375525,132.1267242,68.34375,burst,71,0.2119
105.7117,1.0757, ,90.57915485,127.1056963,66.21349516,burst,71,0.1116
106.7874,1.2494, ,87.2529114,126.9499378,67.83634218,burst,71,0.2928
108.0368,1.3113, ,90.73505538,129.3341445,68.89045931,burst,72,0.275
109.3481,1.315, ,88.49043489,129.2950168,65.90103615,burst,73,0.2337
110.6631,1.1867, ,86.65182333,127.1891861,64.74971008,burst,74,0.1672
111.8498,1.0582, ,89.46267837,123.8132297,64.18759863,burst,74,0.1038
112.908,1.1619, ,89.77076878,126.3333257,67.73307104,burst,74,0.0919
114.0699,1.4947, ,97.41991286,130.8729196,72.50237953,burst,75,0.3141
115.5646,1.4504, ,90.00714458,133.8849949,70.75816354,burst,76,0.2865
117.015,1.2991, ,86.20851455,131.1122189,66.0710547,burst,76,0.2309
118.3141,1.1211, ,92.117853,127.3782043,65.81245422,burst,76,0.1066
119.4352,1.1603, ,91.21838641,125.5726288,69.11711257,burst,76,0.095
120.5955,1.5035, ,99.91725557,132.1234687,73.94453378,burst,76,0.2347
122.099,1.4539, ,93.95641464,135.9122988,74.03553249,burst,78,0.2325
123.5529,1.3288, ,91.35846017,133.6776965,69.89788344,burst,78,0.2028
124.8817,1.2141, ,93.88028941,130.9632221,69.85648101,burst,78,0.0991
126.0958,1.2858, ,94.38466324,129.7829895,72.53095245,burst,78,0.0641
127.3816,1.4295, ,99.20311735,#NUM!,#NUM!,burst,78,0.3119
128.8111,Discontinuous,0mmhg,94.8659595,#NUM!,#NUM!,burst,80,0.3303
135.4150306,1.3953,0mmhg,95.03954347,#NUM!,#NUM!,burst,80,0.3312
136.8103306,1.3708,0mmhg,93.49664202,133.1543357,71.05983791,burst,81,0.2312
138.1811306,1.2283,0mmhg,91.03423176,131.481896,69.30494324,burst,82,0.24
139.4094306,1.1204,0mmhg,97.37838049,129.9381714,70.09375,burst,82,0.0928
140.5298306,1.1706,0mmhg,97.56613062,131.2827998,74.53425536,burst,82,0.0653
141.7004306,1.4137,0mmhg,104.4222099,137.9753368,79.38744358,burst,82,0.0812
143.1141306,1.4388,0mmhg,102.049073,140.55614,79.38260335,burst,82,0.1669
144.5529306,1.358,0mmhg,97.61398656,139.8080365,76.07338236,burst,83,0.2253
145.9109306,1.2123,0mmhg,95.66413274,136.5946901,73.31487913,burst,84,0.1603
147.1232306,1.132,0mmhg,97.26600044,132.0635071,73.40624237,burst,84,0.0997
148.2552306,1.1703,CAL,110.9370861,#NUM!,#NUM!,burst,84,0.0841
149.4255306,1.3147,CAL,101.0596167,#NUM!,#NUM!,burst,84,0.2458
150.7402306,1.3037, ,92.02129037,#NUM!,#NUM!,burst,85,0.2772
152.0439306,1.3064, ,95.42952962,135.8155904,72.36198051,burst,86,0.1925
153.3503306,1.2052, ,92.98025224,133.2037661,70.68178383,burst,87,0.1597
154.5555306,1.0593, ,94.70866374,129.3141327,69.31137085,burst,87,0.0847
155.6148306,1.1506, ,92.97685447,130.1636855,71.25898114,burst,87,0.0872
156.7654306,1.348, ,96.9257882,133.235374,74.61340349,burst,87,0.1238
