 , ,Fino. BP,MAP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Value,Value,Value,Cmt Text,Cmt No,Minimum,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V,V
10813.45256,1.305, ,66.77623749,108.8437576,53.15604019,BURST,449,0.5294,0.2403
10814.75756,1.245, ,68.86683655,104.1879654,50.5310936,BURST,449,0.5266,0.0703
10816.00256,1.5, ,72.7780304,106.9384995,52.71875,BURST,449,0.5297,0.1016
10817.50256,1.51, ,73.64002991,109.6875992,55.15389633,BURST,449,0.5416,0.0541
10819.01256,1.51, ,75.16583252,114.1261978,55.68746948,BURST,449,0.5322,0.12
10820.52256,1.495, ,74.9821167,114.3443756,57.03003693,BURST,449,0.5172,0.1597
10822.01756,1.495, ,76.61262512,115.3450699,57.40591812,BURST,449,0.5303,0.1122
10823.51256,1.5, ,73.43154144,112.6887512,58.78087997,BURST,450,0.5487,0.1981
10825.01256,1.49, ,75.96842194,115.5009842,57.34336853,BURST,450,0.5487,0.0959
10826.50256,1.655, ,75.1654892,112.0958328,57.71843719,BURST,450,0.5313,0.0731
10828.15756,1.46, ,75.8261261,114.2812653,58.74972153,BURST,451,0.5062,0.155
10829.61756,1.505, ,77.03978729,112.8138351,57.59367371,BURST,451,0.5356,0.0884
10831.12256,1.435, ,78.97050476,116.1564255,60.46853256,BURST,451,0.5391,0.0581
10832.55756,1.345, ,77.97286224,115.3450928,60.18747711,BURST,451,0.5216,0.1231
10833.90256,1.25, ,81.31847382,118.9065857,61.56152725,BURST,451,0.5166,0.1081
10835.15256,1.39, ,82.31498718,116.4083557,62.81144714,BURST,451,0.5212,0.0672
10836.54256,1.24, ,85.98241425,122.8760376,64.71857452,BURST,451,0.5344,0.0572
10837.78256,1.315, ,88.33168793,122.9385452,65.49894714,BURST,451,0.5256,0.0759
10839.09756,1.25, ,88.86531067,127.0008774,68.15612793,BURST,451,0.5397,0.0606
10840.34756,1.325, ,87.57440948,124.6908798,67.90602875,BURST,451,0.5322,0.0659
10841.67256,1.305, ,86.46405792,125.7814026,67.43599701,BURST,451,0.5119,0.0822
10842.97756,1.355, ,81.10231018,119.5320129,65.03027344,BURST,451,0.5297,0.0891
10844.33256,1.395, ,80.81932068,119.1898422,63.968647,BURST,451,0.5206,0.0963
10845.72756,1.365, ,76.96642303,113.6250229,62.62471771,BURST,452,0.5369,0.1188
10847.09256,1.365,CAL,76.54897308,113.6876221,59.90624619,BURST,452,0.5459,0.1025
10848.45756,1.465,CAL,82.5938797,108.75,59.28039932,BURST,453,0.52,0.1472
10849.92256,1.2,CAL,82.5938797,108.75,59.28039932,BURST,454,0.5253,0.1741
10851.12256,1.25, ,82.5938797,108.75,59.28039932,BURST,454,0.5381,0.0572
10852.37256,1.225, ,74.62820435,110.1875076,66.31201172,BURST,454,0.5347,0.0763
10853.59756,1.215, ,69.02565002,101.9697876,50.90589905,BURST,454,0.5469,0.0678
10854.81256,1.46, ,72.4743042,98.90626526,51.24902725,BURST,454,0.5253,0.0716
10856.27256,1.25, ,74.87847137,105.500061,55.3748703,BURST,457,0.5372,0.1797
10857.52256,1.325, ,75.67738342,105.5312576,55.68747711,BURST,457,0.5463,0.2841
10858.84756,1.18, ,80.64003754,112.5003967,58.21823883,BURST,457,0.5263,0.0719
